cut_distance,person
1.78,0.916172978179
1.79,0.915997792761
1.8,0.915903122011
1.81,0.91521181568
1.82,0.914555497882
1.83,0.913869448242
1.84,0.913986494639
1.85,0.913661357623
1.86,0.913197734138
1.87,0.912466992691
1.88,0.912025113075
1.89,0.911862457497
1.9,0.911773616552
1.91,0.911598285101
1.92,0.910761936158
1.93,0.910393945039
1.94,0.909889278915
1.95,0.909814965183
1.96,0.909304738955
1.97,0.909239226985
1.98,0.908455867902
1.99,0.909000241695
2.0,0.908649102218
2.01,0.908523619682
2.02,0.908103871306
2.03,0.907340347257
2.04,0.907127689157
2.05,0.90646218399
2.06,0.906130286695
2.07,0.906020539822
2.08,0.905841630033
2.09,0.905857020377
2.1,0.905697775233
2.11,0.905059519731
2.12,0.903414780563
2.13,0.903332097463
2.14,0.903172302879
2.15,0.902965247997
2.16,0.902680131403
2.17,0.902628783531
2.18,0.902164708534
2.19,0.90205825129
2.2,0.900994790579
2.21,0.900232997976
2.22,0.900098805121
2.24,0.900037243264
2.25,0.899836827219
2.26,0.899563427576
2.27,0.899482100472
2.28,0.8985950943
2.29,0.897906376618
2.3,0.89782111437
2.31,0.897660846835
2.32,0.897272082789
2.33,0.89684007137
2.34,0.896646523427
2.35,0.895561064388
2.36,0.895370057217
2.37,0.89497902681
2.38,0.894701913079
2.39,0.894584190906
2.4,0.894227260447
2.41,0.895649679111
2.42,0.895207880508
2.43,0.894897168576
2.44,0.894096600527
2.45,0.893869232998
2.46,0.893001369404
2.48,0.892646734938
2.49,0.892321807765
2.5,0.892240655622
2.51,0.89155686696
2.52,0.890959749328
2.53,0.890740430675
2.55,0.890664309753
2.56,0.890437334703
2.57,0.889976008319
2.58,0.889902064602
2.61,0.889594672061
2.62,0.889169408788
2.63,0.889120793509
2.65,0.88888347525
2.66,0.890539770606
2.68,0.889439447182
2.7,0.888369778559
2.71,0.887190006253
2.72,0.887106132373
2.73,0.887000911118
2.74,0.886693703342
2.75,0.886415504102
2.76,0.885899743477
2.79,0.884803877886
2.8,0.884445877212
2.81,0.884325147824
2.83,0.884143228531
2.84,0.883982739175
2.85,0.883007760052
2.86,0.88242896833
2.87,0.88222333488
2.89,0.881579729257
2.9,0.881430526979
2.93,0.880863497571
2.95,0.88020290275
2.98,0.87774254612
2.99,0.87742553547
3.0,0.877003292279
3.01,0.876879886429
3.02,0.87577000016
3.03,0.875104907412
3.04,0.874440911257
3.05,0.87438308635
3.06,0.872963883165
3.1,0.871955785912
3.11,0.871548713441
3.12,0.871123480612
3.14,0.873083055683
3.16,0.87290769005
3.18,0.871976641053
3.21,0.871689376037
3.22,0.871454472381
3.23,0.871280289924
3.24,0.87070207995
3.25,0.873717918192
3.26,0.873356317138
3.28,0.871787271977
3.29,0.871488197164
3.36,0.870715418305
3.39,0.869653314883
3.42,0.869363791577
3.44,0.868647327257
3.46,0.866269409804
3.48,0.864877222871
3.49,0.8639747312
3.51,0.862742371389
3.52,0.862334368108
3.54,0.861871404008
3.55,0.861468070603
3.58,0.860075013807
3.59,0.859575406871
3.61,0.859107068
3.62,0.857855802436
3.63,0.857503232445
3.66,0.855989552289
3.73,0.855845013019
3.77,0.855470410847
3.79,0.854914331599
3.82,0.854103397853
3.86,0.853993562775
3.87,0.85447240654
3.88,0.854350371942
3.91,0.8539532975
3.92,0.853066480631
3.94,0.852519630812
4.07,0.852219247451
4.09,0.851795456177
4.12,0.851197705269
4.13,0.848926590134
4.18,0.8483990777
4.2,0.846974814661
4.22,0.846716116119
4.23,0.845377382781
4.25,0.844172279716
4.27,0.843183336212
4.28,0.83957137582
4.29,0.838175846333
4.3,0.837686611357
4.31,0.836486098025
4.33,0.836064247778
4.34,0.835561077677
4.45,0.834356508848
4.48,0.833489605629
4.54,0.829999640579
4.6,0.827593270123
4.65,0.826698515954
4.72,0.824138563287
4.74,0.823328119958
4.83,0.822518804874
4.84,0.820915699425
4.85,0.820523211758
4.88,0.819270454185
4.89,0.818714190544
4.9,0.817836241831
5.03,0.817514559097
5.05,0.815652949967
5.07,0.815031300714
5.24,0.814283827438
5.28,0.812658712682
5.3,0.811037135208
5.36,0.809251227886
5.39,0.808401640195
5.44,0.806587376263
5.47,0.805769183642
5.62,0.805413597625
5.64,0.80350832649
5.73,0.80207201434
5.79,0.801641710934
5.89,0.800873305167
5.91,0.807048827715
5.92,0.804516857706
6.0,0.802214337894
6.17,0.801836350161
6.47,0.801554063215
6.48,0.80128199978
6.61,0.799711170218
6.63,0.794454450247
6.65,0.792446561349
6.76,0.788722514642
6.89,0.785081026598
6.91,0.782344087547
6.96,0.780633335475
7.04,0.787206634681
7.18,0.782195389544
7.22,0.779132491791
7.38,0.77744242524
7.84,0.776378664019
7.93,0.774985580393
8.05,0.774013449134
8.12,0.770570303017
8.48,0.766009850274
8.53,0.764349337587
8.58,0.763675342827
8.85,0.756364466683
9.7,0.749836996489
9.74,0.746615154737
9.76,0.751876982458
10.0,0.74699767591
10.39,0.740163262063
10.4,0.733308237657
11.41,0.725097259709
12.13,0.71337054494
12.81,0.70943048633
12.98,0.705972938098
13.03,0.700956391032
13.7,0.726516209487
13.95,0.721006434983
14.89,0.712222910437
15.86,0.69534083385
16.0,0.689629225547
16.38,0.671893027481
18.36,0.632494528777
18.44,0.622983311977
18.73,0.608395916264
19.35,0.591224229269
22.61,0.575820414653
23.11,0.578041754127
23.53,0.528417487731
29.65,0.47068071516
31.42,0.320980332747
